Canonical Pathways;e01=IOX.3/C;e02=T4IOX.3/T4;e03=T4IOX.3A5/T4A5;e04=IOX1/C;e05=T4IOX1/T4;e06=T4/C;e07=T4IOX.3/IOX.3;e08=T4IOX1/IOX1;e09=T4IOX.3/C;e10=T4IOX1/C;e11=T4A5/T4;e12=T4IOX.3A5/T4IOX.3;e13=T4IOX.3A5/T4;e14=T4A5/C;e15=T4IOX.3A5/IOX.3;e16=T4IOX.3A5/C
Smooth Muscle Contraction;0,00;0,00;5,66;0,00;1,52;3,35;2,38;1,93;4,01;2,43;4,52;3,49;3,67;0,82;0,75;3,56
Clathrin-mediated Endocytosis Signaling;0,80;0,71;4,14;1,17;1,60;3,00;3,45;2,33;4,69;3,49;4,78;4,45;5,19;0,61;2,58;3,49
Caveolar-mediated Endocytosis Signaling;0,00;0,38;4,57;0,00;0,72;3,50;2,89;3,87;2,88;3,09;5,13;3,74;4,89;0,47;2,82;3,65
TNF signaling;0,00;0,00;1,38;0,00;0,38;1,39;1,76;4,91;1,10;2,94;1,04;5,42;4,08;0,00;1,58;0,54
Oncogene Induced Senescence;0,00;0,66;3,17;0,00;0,79;3,20;4,02;3,44;2,24;4,15;2,70;7,66;4,16;0,37;2,15;1,74
RIPK1-mediated regulated necrosis;0,00;0,00;1,87;0,00;0,00;2,82;4,35;4,43;3,02;3,19;2,38;6,65;5,31;0,00;3,00;2,48
Death Receptor Signaling;0,00;0,00;2,91;0,00;1,37;2,52;4,26;5,51;3,00;4,26;3,66;5,42;5,30;0,00;0,26;0,00
Apoptosis Signaling;0,00;0,00;1,73;0,00;0,87;3,18;3,64;5,17;4,92;4,00;3,87;5,70;4,37;0,00;1,06;0,92
IL-1 Signaling;0,00;0,81;1,54;0,00;1,01;2,52;2,64;4,58;1,96;4,70;3,66;5,87;3,32;0,00;0,65;0,00
NLR signaling pathways;0,00;0,00;1,41;0,00;0,71;2,67;2,65;4,48;2,21;6,41;2,55;5,60;4,74;0,00;1,18;0,00
PTEN Signaling;0,00;0,00;1,40;0,00;1,67;3,46;4,32;5,30;7,73;3,63;4,47;6,31;6,77;1,45;1,05;2,50
p75 NTR receptor-mediated signalling;0,00;0,00;1,44;0,00;0,65;3,44;5,30;4,65;6,30;5,24;2,98;5,78;6,14;0,00;0,39;0,75
Neuregulin Signaling;0,00;0,00;1,79;0,00;2,51;2,81;2,81;2,63;5,17;3,06;4,13;8,08;7,08;0,25;2,57;2,97
Chemokine Signaling;0,00;0,00;1,14;0,00;1,75;2,26;2,12;3,33;3,70;3,42;5,53;7,78;5,48;0,85;1,64;2,79
Prostate Cancer Signaling;0,00;0,24;3,15;0,00;3,03;2,86;5,27;3,74;5,72;3,86;4,20;6,80;7,22;0,00;0,41;0,94
Signaling by VEGF;0,00;0,73;1,63;0,42;2,33;3,33;4,17;2,53;4,15;2,95;3,98;6,07;7,90;1,01;0,98;2,10
Non-Small Cell Lung Cancer Signaling;0,00;0,00;1,17;0,00;2,73;2,52;3,82;3,33;5,18;2,35;4,08;6,83;6,71;0,00;0,26;0,82
Hereditary Breast Cancer Signaling;0,00;0,00;2,26;0,00;1,46;2,80;3,32;3,95;4,77;2,77;2,82;5,91;5,95;0,00;0,34;1,71
Actin Nucleation by ARP-WASP Complex;0,00;0,00;0,90;0,47;0,74;3,94;3,22;2,80;4,50;2,54;7,45;4,93;7,71;2,41;2,09;4,19
RHOGDI Signaling;0,00;0,00;3,01;0,20;0,38;4,03;4,12;3,09;5,79;3,23;5,50;6,00;6,54;2,02;2,01;2,19
Regulation of lipid metabolism by PPARalpha;1,03;0,00;0,35;0,38;1,62;3,43;3,04;2,52;2,69;2,31;4,81;4,39;7,27;2,50;2,09;1,75
BMAL1:CLOCK,NPAS2 activates circadian gene expression;0,00;0,00;0,00;0,00;0,52;2,81;3,77;1,59;3,08;3,32;4,42;5,00;6,87;3,06;2,67;2,94
Glucocorticoid Receptor Signaling;0,41;0,38;3,48;0,31;1,79;1,91;2,13;5,13;2,88;2,46;2,75;3,61;5,38;2,50;1,57;2,49
Beta-catenin independent WNT signaling;1,09;0,77;3,19;1,12;0,90;1,89;3,38;3,64;2,99;4,16;4,92;5,52;5,87;0,00;1,43;1,57
Degradation of the extracellular matrix;0,00;1,08;0,00;0,00;1,75;2,82;3,64;2,93;2,72;3,01;5,65;4,47;4,24;1,66;2,19;1,65
Signaling by MET;0,00;0,00;0,84;0,00;0,65;2,77;4,37;3,50;2,60;4,04;5,22;5,46;5,77;0,87;0,96;1,58
Xenobiotic Metabolism AHR Signaling Pathway;0,00;0,00;1,38;0,49;0,32;3,49;3,24;4,54;3,23;3,76;4,89;3,98;4,67;1,28;1,46;2,51
Acute Phase Response Signaling;0,00;0,00;2,75;0,00;2,79;2,83;3,72;4,04;4,03;3,27;3,50;4,82;4,62;1,98;2,49;1,88
Signaling by NOTCH1;0,00;0,00;0,86;0,00;2,35;2,43;3,08;2,39;3,97;4,14;3,83;5,62;5,93;0,88;3,22;2,02
Actin Cytoskeleton Signaling;0,73;0,27;2,12;0,00;1,35;1,62;3,82;4,34;5,35;3,95;4,14;5,23;6,05;0,99;2,40;3,75
PAK Signaling;1,03;0,00;2,13;0,38;1,62;2,06;2,70;4,28;3,38;2,31;3,98;4,39;4,72;0,52;1,37;4,27
Role of IL-17A in Arthritis;0,00;0,00;1,31;0,00;2,58;4,48;2,85;7,79;3,82;6,57;5,38;6,19;5,32;0,61;0,73;0,78
Role of PKR in Interferon Induction and Antiviral Response;0,97;0,20;2,08;0,34;3,84;4,34;5,39;8,57;3,42;5,90;5,15;6,84;4,52;0,00;0,40;0,82
STAT3 Pathway;0,97;0,20;0,81;0,91;2,44;4,40;4,63;7,67;4,61;5,14;6,58;5,35;5,35;2,20;0,80;2,30
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway;0,73;0,00;0,00;0,52;3,28;5,05;5,32;6,19;5,98;4,18;6,74;4,34;4,01;2,17;0,70;0,53
Factors Promoting Cardiogenesis in Vertebrates;0,92;0,52;0,42;0,30;1,30;4,07;3,49;5,14;5,33;5,71;8,73;6,48;5,05;0,99;0,28;0,59
Endocannabinoid Cancer Inhibition Pathway;0,00;1,03;1,77;0,31;1,71;3,22;4,45;5,46;4,43;6,05;6,25;7,36;5,43;0,00;0,84;0,64
GNRH Signaling;0,00;0,79;1,04;0,00;3,48;4,13;5,45;5,71;5,43;6,68;6,32;7,37;5,73;0,00;0,56;1,02
ROBO SLIT Signaling Pathway;0,00;0,22;0,67;0,36;1,45;4,11;6,16;4,05;4,80;3,45;6,86;6,26;4,67;0,47;0,32;0,39
CDK5 Signaling;0,00;0,25;1,13;0,39;1,33;4,09;3,66;4,20;4,04;4,33;6,08;7,41;5,99;0,00;0,42;0,52
Semaphorin Signaling in Neurons;0,00;0,00;0,28;0,62;0,98;5,44;3,14;3,39;4,69;5,05;5,12;6,39;4,99;1,78;0,69;1,05
Acetylcholine Receptor Signaling Pathway;0,00;1,26;0,00;0,00;0,97;4,93;3,48;3,15;3,77;5,55;6,36;6,15;4,68;0,00;0,51;0,33
Xenobiotic Metabolism Signaling;0,00;0,00;1,33;0,00;1,44;4,92;4,94;7,37;5,52;5,37;7,90;8,18;6,66;0,70;1,73;2,67
BMP signaling pathway;0,00;0,31;1,68;0,00;1,48;4,57;2,96;5,07;4,68;5,70;7,12;8,77;6,97;0,74;0,49;1,93
Semaphorin Neuronal Repulsive Signaling Pathway;0,00;1,01;2,44;0,00;2,01;3,76;3,21;6,03;6,70;5,00;6,89;7,84;5,88;1,00;1,30;3,23
Adipogenesis pathway;0,96;0,00;1,31;0,00;2,77;4,55;2,93;5,07;3,95;3,05;6,68;6,90;6,93;1,13;0,99;1,84
Adrenomedullin signaling pathway;0,00;0,75;1,15;0,00;4,08;4,65;4,49;5,73;5,16;4,53;7,62;7,45;6,90;0,00;2,11;1,29
HGF Signaling;0,00;0,00;0,82;0,00;2,47;3,68;4,30;6,36;5,98;4,43;6,20;6,25;6,26;0,44;0,82;2,33
RAC Signaling;0,00;0,00;1,02;0,00;2,77;2,72;3,97;5,47;5,56;4,44;6,68;7,77;8,27;0,00;0,75;1,53
p53 Signaling;0,00;0,00;0,53;0,44;2,11;3,44;5,30;6,07;3,92;3,52;4,63;5,34;4,82;0,66;0,85;0,53
Mouse Embryonic Stem Cell Pluripotency;1,07;0,00;0,28;0,00;2,39;2,34;3,11;5,91;5,21;3,45;5,02;5,45;4,95;0,29;0,33;0,65
Transcriptional Regulatory Network in Embryonic Stem Cells;0,89;0,00;0,49;0,28;1,74;3,10;4,90;6,17;6,08;3,45;5,83;5,26;4,66;1,75;0,00;1,00
Cell Cycle: G1/S Checkpoint Regulation;0,00;1,06;1,96;0,00;2,76;3,60;5,00;3,18;4,45;2,44;4,84;5,68;4,93;1,01;0,87;0,59
Ovarian Cancer Signaling;0,91;0,49;0,53;0,79;3,99;3,34;4,12;3,93;5,23;3,11;5,00;6,49;4,12;0,32;0,51;1,09
Bladder Cancer Signaling;0,00;0,69;0,82;0,39;4,11;3,23;3,59;4,12;4,81;2,47;4,62;5,92;4,65;0,25;0,61;1,21
Macropinocytosis Signaling;1,21;0,00;1,65;0,53;3,54;3,34;2,36;4,14;4,55;4,73;6,00;3,13;4,17;0,45;1,36;2,51
PI3K/AKT Signaling;0,00;0,00;2,04;0,23;2,82;4,35;3,89;4,75;4,19;3,09;6,07;3,71;6,29;0,40;1,04;1,81
ERK/MAPK Signaling;0,00;0,33;2,03;0,00;2,09;2,69;3,10;3,78;4,91;3,94;6,44;4,72;5,49;0,33;0,82;1,98
Sperm Motility;0,00;0,93;0,74;0,00;4,23;5,86;3,85;4,58;4,71;4,20;5,06;4,15;4,10;0,00;0,46;0,87
Erythropoietin Signaling Pathway;0,00;0,00;0,55;0,00;5,40;4,48;4,45;4,47;5,16;4,29;6,07;2,82;4,24;0,26;0,89;0,35
Aldosterone Signaling in Epithelial Cells;0,00;0,44;1,03;0,00;3,09;4,71;5,45;3,73;5,04;3,56;3,77;3,32;5,21;0,00;0,73;1,85
Insulin Secretion Signaling Pathway;0,00;0,85;0,58;0,46;2,98;4,59;4,13;2,50;4,10;4,66;5,00;3,97;5,23;0,00;0,59;0,53
DAG and IP3 signaling;0,00;0,59;0,26;0,00;2,90;4,21;4,95;2,57;4,28;3,15;4,82;3,83;3,47;0,00;0,80;0,59
PDGF Signaling;1,15;0,32;0,98;0,48;5,52;2,18;2,71;5,29;5,37;3,59;4,70;5,00;4,02;0,38;0,31;2,00
Cholecystokinin/Gastrin-mediated Signaling;0,00;0,00;1,06;0,38;6,44;5,12;3,40;4,28;4,57;5,25;5,24;5,55;5,11;0,90;1,37;2,48
HER-2 Signaling in Breast Cancer;0,00;0,64;1,52;0,00;5,07;3,33;2,62;5,26;4,27;4,49;4,03;4,98;5,77;0,78;1,83;1,48
CXCR4 Signaling;0,00;0,00;1,08;0,27;4,65;3,51;3,23;3,34;4,20;4,12;3,67;6,57;4,89;0,85;1,53;2,27
Nitric Oxide Signaling in the Cardiovascular System;0,00;1,92;0,33;0,38;2,83;4,03;3,58;4,44;4,34;5,42;4,16;4,46;4,42;0,00;1,01;0,62
Circadian Rhythm Signaling;0,00;0,88;2,00;0,00;3,53;3,75;4,50;5,80;5,08;6,37;4,80;4,98;4,69;0,00;1,01;1,48
Opioid Signaling Pathway;0,00;1,27;1,55;0,45;3,64;4,12;3,68;4,26;5,41;5,64;5,11;5,51;4,45;0,00;0,71;0,77
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages;0,00;0,00;1,86;0,67;3,87;3,38;2,76;5,21;3,02;5,76;5,79;4,20;4,60;1,03;1,97;0,79
P2Y Purigenic Receptor Signaling Pathway;0,00;1,13;1,38;0,00;4,42;2,59;2,82;4,99;3,84;5,99;5,67;5,35;4,98;0,00;0,41;0,63
Renin-Angiotensin Signaling;0,00;0,65;0,99;0,00;4,37;3,57;3,15;4,36;3,87;4,49;6,27;5,90;6,30;0,00;0,53;1,06
LXR/RXR Activation;0,00;0,65;0,50;0,37;2,34;4,38;6,53;4,36;4,27;6,23;5,35;2,48;1,94;2,42;2,79;1,97
Atherosclerosis Signaling;2,27;0,21;0,60;1,66;2,95;5,86;3,99;3,99;3,97;5,74;5,84;2,35;1,86;4,22;1,09;2,37
GP6 Signaling Pathway;0,99;0,00;0,00;0,36;3,08;3,98;3,87;4,28;4,24;6,56;7,15;3,18;4,12;3,61;0,89;0,00
FAT10 Cancer Signaling Pathway;0,00;0,00;1,62;0,00;0,83;3,19;2,71;3,09;3,19;3,16;4,18;3,43;2,71;3,84;1,38;1,44
Apelin Cardiac Fibroblast Signaling Pathway;0,00;0,00;0,56;1,01;1,18;4,18;3,76;3,28;4,55;3,34;3,67;1,53;2,11;4,56;0,95;1,27
Interleukin-10 signaling;0,00;0,00;0,00;0,00;2,02;4,98;3,76;4,87;3,75;4,34;4,86;1,92;2,04;4,10;0,39;0,82
Circadian Clock;0,00;0,00;1,31;0,63;2,00;1,64;3,83;4,11;2,41;4,75;0,96;4,05;4,28;1,16;2,52;2,99
Signaling by ERBB4;0,00;0,00;2,33;0,63;0,66;2,02;3,33;1,89;1,30;2,75;0,96;5,07;3,79;0,61;4,42;4,20
IL-10 Signaling;0,00;0,51;2,39;0,00;3,71;1,58;3,11;3,98;2,49;5,23;5,03;2,32;3,09;1,41;3,02;1,20
CD40 Signaling;0,00;0,40;1,05;0,00;3,32;1,82;1,44;6,76;1,76;5,14;3,24;4,52;3,43;0,52;1,20;0,57
p38 MAPK Signaling;0,00;0,00;0,76;0,00;0,92;4,59;4,10;5,45;4,92;6,53;6,08;4,66;4,26;1,35;0,38;0,46
Bile acid and bile salt metabolism;0,00;0,00;0,39;0,00;1,44;3,59;4,52;5,37;4,51;7,13;5,16;2,83;3,54;1,05;1,14;0,23
Oxytocin in Brain Signaling Pathway;0,00;0,37;0,38;0,00;2,42;3,97;4,49;6,09;5,16;6,69;3,61;3,38;3,24;0,00;0,63;1,07
NGF Signaling;0,00;0,23;1,00;0,00;3,33;2,89;3,96;6,16;5,20;5,86;4,16;4,10;4,07;0,00;0,00;0,44
RANK Signaling in Osteoclasts;0,00;0,31;0,39;0,47;2,84;3,50;3,22;6,90;3,61;6,51;3,89;3,35;3,61;0,00;0,28;0,00
Kinetochore Metaphase Signaling Pathway;0,00;0,72;0,43;0,00;2,27;3,20;3,61;7,48;2,86;6,62;2,72;3,84;2,50;0,00;0,00;0,00
Neuroinflammation Signaling Pathway;0,00;0,00;0,00;0,38;2,49;3,70;2,75;4,82;3,41;6,23;5,57;2,32;2,52;0,84;0,68;0,34
VDR/RXR Activation;0,00;0,36;0,56;0,00;2,90;3,73;2,68;5,01;3,97;5,13;3,38;1,24;2,20;0,88;1,33;1,61
Transport of inorganic cations/anions and amino acids/oligopeptides;0,00;0,76;0,00;0,43;1,20;5,41;3,24;4,72;4,47;5,31;3,87;1,89;2,35;1,58;1,06;1,86
Immunogenic Cell Death Signaling Pathway;0,00;0,00;2,15;0,00;0,30;3,28;3,03;5,18;3,02;5,31;3,70;2,31;1,92;0,37;1,77;0,47
Inflammasome pathway;0,00;0,00;0,22;0,00;0,71;3,14;3,57;4,75;2,14;5,75;2,09;1,97;2,06;0,56;0,56;0,00
Interleukin-1 processing;0,00;0,00;0,47;0,00;2,32;2,89;3,71;4,57;1,78;6,03;2,61;2,49;2,56;0,00;0,42;0,00
Regulation of Actin-based Motility by Rho;0,00;0,00;3,70;0,39;0,72;1,93;1,44;1,15;2,57;1,21;4,28;3,07;4,38;1,97;1,82;3,51
Dilated Cardiomyopathy Signaling Pathway;0,00;1,02;3,37;0,00;0,00;3,17;2,13;1,22;2,39;3,36;3,14;3,95;4,63;0,65;3,59;2,54
Clathrin-mediated endocytosis;0,00;0,00;1,84;0,00;0,00;1,39;2,16;1,49;1,87;1,33;2,31;3,10;5,11;0,46;1,79;1,45
EPH-Ephrin signaling;0,00;0,00;2,48;1,18;0,00;1,63;2,41;1,50;2,40;2,15;2,29;3,62;4,27;0,71;1,65;1,82
Iron uptake and transport;0,00;0,46;1,34;0,00;0,37;2,98;2,08;1,29;1,35;2,02;1,29;4,20;3,93;0,00;2,58;1,55
Signaling by PTK6;0,00;0,48;3,15;0,00;1,13;1,49;2,29;0,46;1,51;0,91;1,13;5,22;3,88;0,65;2,74;2,15
Signaling by ERBB2;0,00;0,00;2,17;0,00;0,47;1,40;0,83;1,11;1,45;1,84;1,07;5,01;4,67;0,00;3,05;2,43
Epithelial Adherens Junction Signaling;0,00;0,00;1,00;0,00;0,70;1,25;3,54;1,78;3,20;1,65;3,68;5,22;4,60;0,95;0,72;1,38
Regulation of Cellular Mechanics by Calpain Protease;0,00;0,32;0,66;0,00;0,79;1,50;3,03;1,42;2,64;1,23;3,70;3,66;5,18;0,37;0,50;1,96
Phagosome Maturation;0,00;0,00;3,82;0,00;1,43;3,82;2,92;1,18;2,34;1,87;2,46;5,01;5,43;0,00;1,10;1,52
AMPK Signaling;0,00;1,50;1,59;0,53;1,96;1,16;2,63;1,46;2,38;3,82;2,91;3,83;4,01;0,00;0,00;0,00
Androgen Signaling;0,00;0,91;2,03;0,00;2,01;1,82;1,26;1,60;1,45;2,94;2,01;3,67;4,33;0,00;0,43;1,16
Polyamine Regulation in Colon Cancer;0,00;0,46;2,33;0,00;2,00;1,64;1,31;2,27;2,84;0,76;2,32;4,05;3,34;0,21;1,09;0,78
Tight Junction Signaling;0,00;1,38;2,89;0,00;1,47;2,46;2,49;2,57;2,22;1,73;2,59;2,94;3,53;0,48;0,00;0,00
Apelin Adipocyte Signaling Pathway;0,00;0,31;2,59;0,47;0,77;3,21;2,24;0,92;1,60;1,19;3,62;4,33;3,81;0,00;0,73;1,55
MHC class II antigen presentation;0,00;0,22;1,94;0,00;1,84;3,03;2,98;1,64;1,77;1,48;2,50;4,07;4,76;0,00;0,49;0,40
Remodeling of Epithelial Adherens Junctions;0,00;0,00;2,48;0,00;1,23;3,12;2,58;2,37;1,81;1,72;3,80;3,33;3,98;0,00;0,57;0,37
LPS/IL-1 Mediated Inhibition of RXR Function;0,72;0,00;0,00;0,50;0,00;4,21;4,43;4,88;3,29;3,14;6,05;4,40;2,54;1,62;1,14;1,67
Autism Signaling Pathway;0,64;0,41;0,00;0,00;1,06;3,26;5,16;4,18;6,06;3,16;6,69;4,60;2,35;0,89;1,10;0,90
Pyroptosis Signaling Pathway;0,00;0,31;0,39;0,00;0,74;5,40;4,51;3,98;2,46;5,00;4,80;3,35;2,58;0,72;2,09;0,88
UDP-N-acetyl-D-glucosamine Biosynthesis II;0,00;0,00;0,00;0,00;0,65;5,79;5,49;2,36;3,84;3,60;5,43;2,77;4,24;1,03;2,62;1,30
Factors involved in megakaryocyte development and platelet production;0,00;0,31;0,41;0,00;1,48;5,59;5,19;1,38;3,77;4,73;4,51;3,19;1,85;0,00;0,30;0,29
Antioxidant Action of Vitamin C;0,00;0,70;0,85;1,03;2,61;5,53;4,55;3,15;4,11;4,41;5,69;4,17;2,79;0,00;1,16;0,74
Apelin Pancreas Signaling Pathway;0,00;0,54;0,80;0,72;1,93;4,71;3,53;2,92;3,52;4,65;5,21;2,48;2,22;0,00;0,36;0,46
L1CAM interactions;0,00;0,00;2,38;0,00;1,15;3,84;4,14;1,93;4,53;1,09;2,56;3,19;4,14;0,00;0,50;0,41
RHOA Signaling;0,00;0,00;3,34;0,00;0,61;2,79;4,22;1,98;5,48;2,06;4,42;4,26;3,89;1,30;0,98;1,04
Semaphorin interactions;0,00;1,11;3,27;0,00;1,81;2,97;3,84;4,05;5,48;4,67;3,70;3,82;4,05;1,08;0,64;1,73
ATF6 (ATF6-alpha) activates chaperone genes;0,00;0,00;3,16;0,00;0,00;4,81;4,48;4,10;4,47;4,14;4,41;4,07;3,12;0,00;0,39;0,89
NGF-stimulated transcription;0,00;0,00;1,53;0,80;0,32;3,83;3,94;3,92;4,58;4,00;4,47;3,63;2,76;0,89;1,32;1,47
PFKFB4 Signaling Pathway;0,00;1,31;2,22;0,71;1,84;2,77;3,85;3,20;3,84;3,80;4,31;4,62;2,41;0,73;0,61;0,71
ATF4 activates genes in response to endoplasmic reticulum stress;0,00;0,75;2,19;0,00;0,52;2,81;4,52;3,27;3,77;2,69;5,21;3,59;2,02;0,00;0,00;0,62
G alpha (12/13) signalling events;0,00;0,36;0,54;0,00;0,64;2,31;5,29;3,00;5,82;3,51;2,81;3,98;4,68;0,43;0,00;0,62
NCAM signaling for neurite out-growth;0,00;0,45;0,00;0,00;0,62;2,30;4,15;1,76;3,62;4,50;3,02;4,24;3,53;1,78;1,04;0,47
White Adipose Tissue Browning Pathway;0,00;1,10;0,37;0,90;0,69;3,45;4,42;1,87;4,80;3,78;5,00;3,69;3,08;1,14;0,38;0,29
Opioid Signalling;0,00;0,86;0,00;0,00;1,51;3,28;4,79;1,69;3,42;2,74;3,70;5,32;3,92;0,00;0,31;0,47
DNA Methylation and Transcriptional Repression Signaling;0,00;0,29;0,82;0,00;1,72;2,41;4,54;1,86;3,25;1,93;3,51;5,60;3,14;0,00;0,00;0,37
Small Cell Lung Cancer Signaling;0,00;0,29;0,82;0,00;2,17;2,41;5,01;3,56;4,99;3,28;3,92;4,74;2,50;0,00;0,00;0,00
tRNA Charging;0,00;0,61;1,01;0,80;1,13;3,83;4,59;2,79;4,58;2,85;3,23;3,10;1,89;0,33;0,49;0,00
XBP1(S) activates chaperone genes;0,00;0,00;1,20;0,71;2,50;3,96;5,21;2,36;5,20;2,88;3,30;3,73;2,52;0,00;1,01;0,00
TP53 Regulates Transcription of Cell Death Genes;0,00;2,40;1,33;0,75;1,48;3,83;4,50;3,81;3,30;3,33;3,77;3,86;4,05;0,00;0,40;0,52
TP53 Regulates Transcription of Cell Cycle Genes;0,00;0,52;0,42;0,71;0,49;3,85;4,44;3,72;2,32;2,33;3,73;3,58;2,83;0,00;0,33;0,43
Cyclins and Cell Cycle Regulation;0,00;0,90;1,06;0,00;2,10;3,20;3,83;2,63;2,97;1,72;3,68;3,06;3,67;0,40;0,00;0,00
Kinesins;0,00;0,45;0,53;0,00;1,92;3,72;4,15;3,88;3,13;2,18;2,58;2,91;2,33;0,59;0,00;0,00
Metabolism of water-soluble vitamins and cofactors;0,00;0,46;0,30;2,63;0,66;2,44;4,37;4,11;2,41;4,75;5,38;1,69;1,82;1,16;1,51;0,78
S100 Family Signaling Pathway;0,32;0,70;0,00;1,24;2,34;3,56;2,85;2,00;4,30;2,21;4,60;0,87;0,68;1,12;0,00;0,00
FXR/RXR Activation;0,00;0,00;0,48;0,69;1,36;3,04;4,27;2,27;3,29;2,38;4,37;1,23;1,59;1,96;0,00;0,28
Macrophage Alternative Activation Signaling Pathway;0,00;0,00;1,32;0,00;3,51;2,63;2,89;3,17;3,15;3,31;5,61;1,44;2,67;0,44;0,41;0,00
Leukocyte Extravasation Signaling;0,00;0,00;0,99;0,00;4,28;2,71;2,67;3,48;3,51;2,79;4,58;2,13;2,86;1,86;0,52;0,00
G-Protein Coupled Receptor Signaling;0,35;1,15;0,00;0,68;3,12;3,15;4,30;3,31;5,06;4,28;6,08;2,01;2,18;0,46;0,00;0,00
Breast Cancer Regulation by Stathmin1;1,07;0,85;0,29;1,29;3,06;3,50;4,27;2,58;4,24;3,46;5,11;1,48;2,35;0,99;0,00;0,00
Iron homeostasis signaling pathway;0,97;0,20;0,78;0,90;0,70;4,27;2,72;3,05;1,61;2,85;3,90;3,46;2,87;0,75;2,74;2,61
IL-15 Production;0,00;0,23;0,72;0,37;5,57;3,57;2,49;4,36;3,14;3,03;2,99;3,35;3,32;1,31;0,74;0,43
Interleukin-6 family signaling;0,00;0,80;1,04;0,00;5,51;3,23;3,57;2,47;2,24;1,94;4,24;2,38;3,09;1,25;1,49;1,21
Renal Cell Carcinoma Signaling;1,19;0,35;1,98;2,24;3,35;1,57;2,12;3,33;2,85;3,01;2,36;4,28;4,12;0,00;1,25;2,33
Prolactin Signaling;0,00;0,00;0,85;0,00;4,45;0,81;1,97;2,60;2,63;2,35;2,87;2,15;2,35;0,00;0,43;0,82
Thrombopoietin Signaling;0,00;0,00;0,48;0,00;4,95;0,79;1,04;3,46;1,64;2,67;3,13;2,50;3,06;0,00;1,31;0,94
Gap Junction Signaling;0,00;0,75;2,39;0,00;3,66;2,80;2,00;2,46;1,77;1,69;3,37;2,30;3,55;0,00;0,48;1,09
Apelin Cardiomyocyte Signaling Pathway;0,00;0,28;1,42;0,44;3,62;2,98;2,04;2,30;2,69;2,07;3,29;2,97;2,88;0,00;0,58;1,27
LPS-stimulated MAPK Signaling;0,00;0,00;2,25;0,00;4,29;1,33;1,50;4,54;2,11;4,66;2,71;3,22;3,46;0,00;1,11;1,68
Angiopoietin Signaling;0,00;0,00;1,21;0,00;2,90;1,40;1,62;3,59;2,67;3,69;3,83;1,75;2,87;0,00;0,98;1,61
Ceramide Signaling;0,00;0,00;1,24;0,00;2,84;1,98;1,81;3,98;2,82;3,67;3,07;3,35;3,99;0,35;0,70;0,63
NF-κB Activation by Viruses;0,00;0,00;2,02;0,00;3,40;1,95;1,84;3,85;2,53;3,09;3,65;2,49;4,68;0,00;0,64;1,19
14-3-3-mediated Signaling;0,00;0,22;1,18;0,00;4,68;2,55;2,82;3,91;2,80;2,99;4,06;4,85;5,21;0,00;1,17;0,94
BEX2 Signaling Pathway;0,00;0,00;1,51;0,51;3,30;2,58;2,79;3,66;3,19;3,76;2,67;4,58;3,60;0,42;2,04;0,84
JAK/STAT Signaling;0,00;0,34;1,08;0,00;5,13;2,09;3,47;4,37;3,90;3,18;4,22;2,81;4,18;0,41;0,58;0,80
Acute Myeloid Leukemia Signaling;0,00;0,00;2,05;0,00;4,61;2,32;2,83;3,98;4,50;2,89;3,89;3,01;3,61;0,35;0,98;1,86
MSP-RON Signaling in Cancer Cells Pathway;0,00;0,00;1,25;0,33;3,63;2,00;2,19;3,40;4,52;3,52;4,32;2,81;4,00;0,00;0,35;0,55
fMLP Signaling in Neutrophils;0,00;0,60;1,11;0,35;3,96;2,68;2,93;3,99;3,97;4,12;4,56;3,47;4,81;0,00;0,83;0,66
PEDF Signaling;0,00;0,00;2,29;0,00;1,21;1,99;1,55;3,74;2,90;4,76;4,50;3,32;3,56;0,39;1,13;1,72
Gα12/13 Signaling;0,00;0,20;1,08;0,34;2,89;1,99;2,22;4,21;3,84;5,14;3,67;4,27;3,61;0,00;1,06;1,07
MicroRNA Biogenesis Signaling Pathway;0,84;0,00;0,84;0,68;2,31;1,90;2,39;4,44;3,50;4,61;3,61;4,50;4,92;0,00;0,00;0,85
Estrogen-Dependent Breast Cancer Signaling;0,00;0,00;1,46;0,00;2,14;1,76;3,05;3,92;3,90;4,97;4,70;3,92;4,61;0,00;0,00;1,41
VEGF Signaling;0,00;0,00;2,24;0,44;2,08;1,93;3,45;3,72;3,84;3,44;2,92;2,97;4,70;0,00;1,46;1,96
ERK5 Signaling;0,00;0,00;1,75;0,00;2,50;2,69;2,56;2,68;3,39;3,17;4,20;3,06;4,56;0,00;0,75;2,19
Paxillin Signaling;0,00;0,00;1,60;0,00;1,46;1,89;2,58;3,50;2,92;2,56;4,32;2,35;5,02;0,59;0,70;2,45
IL-17A Signaling in Airway Cells;0,00;0,00;0,42;0,00;3,32;2,61;2,12;4,01;2,11;3,18;3,24;4,06;4,30;1,60;1,20;0,35
Role of IL-17F in Allergic Inflammatory Airway Diseases;0,00;0,00;1,23;0,00;1,38;2,95;2,99;4,56;2,04;4,06;3,97;3,89;4,09;0,76;0,36;0,76
IL-17 Signaling;0,00;0,00;0,64;0,24;2,69;2,67;2,93;4,44;2,91;3,36;3,92;3,65;4,31;1,07;0,42;1,05
