Canonical Pathways;e01=IOX.3/C;e04=IOX1/C;e06=T4/C;e09=T4IOX.3/C;e10=T4IOX1/C
FAT10 Cancer Signaling Pathway;0;0;0,58;1,07;1,07
Role of p14/p19ARF in Tumor Suppression;0;0;1,13;1,13;0,38
Caspase activation via Death Receptors in the presence of ligand;0;0;1;1;0,45
TBC/RABGAPs;0;0;0,82;1;1,41
Signaling by BMP;0;0;1,27;1;1,67
Dissolution of Fibrin Clot;0;0;0,45;1,63;1,34
Folate Transformations I;0;0;1,34;1,34;0,82
Nicotinate metabolism;0;0;1,34;1,34;1
UDP-N-acetyl-D-galactosamine Biosynthesis II;0;0;1;1;1,63
BMAL1:CLOCK,NPAS2 activates circadian gene expression;0;0;1;0,63;1,51
Calcium Transport I;0;0;1;1,34;1,34
Superpathway of Serine and Glycine Biosynthesis I;0;0;1;1;1
Nephrin family interactions;0;0;1;1;1,34
DDX58/IFIH1-mediated induction of interferon-alpha/beta;0;0;1,67;1,51;0,5
NLR signaling pathways;0;0;2,14;1,07;1,04
Endocannabinoid Cancer Inhibition Pathway;0;0;2,5;1,57;0,8
MicroRNA Biogenesis Signaling Pathway;0;0;1,26;1,76;1,18
Immunogenic Cell Death Signaling Pathway;0;0;1,53;1,71;1,3
Cytosolic sensors of pathogen-associated DNA;0;0;1,41;1,63;1,73
Sulfur amino acid metabolism;0;0;1,34;1;0,82
Calcium Signaling;0;0;0,96;1,51;1,22
Osteoarthritis Pathway;0;0;1,54;0,54;0,39
Transcriptional Regulation by VENTX;0;0;1;0,82;0,63
Regulation of TP53 Expression and Degradation;0;0;1,13;1,41;0,82
p38 MAPK Signaling;0;0;0,2;-0,19;0,51
Multiple Sclerosis Signaling Pathway;0;0;0,16;0;0,58
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway;0;0;0,44;0,69;1,66
Ferroptosis Signaling Pathway;0;0;0,49;1,44;0,67
Endocannabinoid Developing Neuron Pathway;0;0;0;0,85;-0,41
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza;0;0;0,22;1,04;0,19
CSDE1 Signaling Pathway;0;0;-0,45;0,63;0,63
MyD88-independent TLR4 cascade;0;0;1,13;0,38;0,3
Toll Like Receptor 3 (TLR3) Cascade;0;0;1,63;0,82;0,3
Regulation of TP53 Activity through Methylation;0;0;1,63;1,34;0,38
Signaling by FGFR1;0;0;1;0,63;0,63
Signaling by FGFR3;0;0;0,82;0,38;0,38
Signaling by FGFR4;0;0;0,82;0,38;0,38
Pulmonary Healing Signaling Pathway;0;0;0;0,27;0,96
Glioblastoma Multiforme Signaling;0;0;0;0;1,12
Signaling by Activin;0;0;1;1,34;1,34
NAFLD Signaling Pathway;0;0;0,85;0,82;1,03
Natural Killer Cell Signaling;0;0;0,35;0,93;0,89
Senescence Pathway;0;0;0,99;0,47;1,2
JAK/STAT Signaling;0;0;0,26;0,85;1,09
VEGF Signaling;0;0;0,26;1,04;1,63
Integrin Signaling;0;0;0,33;1,16;0,78
IL-6 Signaling;0;0;0,39;0,33;1,27
TGF-β Signaling;0;0;0;0,6;0,85
Role of JAK family kinases in IL-6-type Cytokine Signaling;0;0;1,4;1,57;2,12
Polyamine Regulation in Colon Cancer;0;0;1,16;1,5;0,91
Acute Phase Response Signaling;0;0;0,82;1,41;1,72
FLT3 Signaling;0;0;1,41;1,9;1,67
ATF4 activates genes in response to endoplasmic reticulum stress;0;0;1,67;1,51;1,9
Signaling by EGFR;0;0;1,94;1,6;2
TP53 Regulates Transcription of Cell Death Genes;0;0;1,6;1,6;0,78
Signaling by TGF-beta Receptor Complex;0;0;1,79;1,71;1,28
HMGB1 Signaling;0;0;1,41;1,15;2,03
Cholecystokinin/Gastrin-mediated Signaling;0;0;1,18;1,35;2,34
fMLP Signaling in Neutrophils;0;0;1,34;1,96;2,5
Estrogen-Dependent Breast Cancer Signaling;0;0;1;1,5;1,7
UVC-Induced MAPK Signaling;0;0;0,63;1,73;1,6
PAK Signaling;0;0;0,47;1,63;1,23
Acute Myeloid Leukemia Signaling;0;0;0,3;1,61;1,21
PEDF Signaling;0;0;0,78;1,34;1,4
α-Adrenergic Signaling;0;0;1;1,39;1,94
Gαi Signaling;0;0;1,07;1,81;1,21
Telomerase Signaling;0;0;0,83;1,79;1,21
Insulin Receptor Signaling;0;0;0,66;1,73;1,13
Prolactin Signaling;0;0;0,28;1,15;1,34
Th1 Pathway;0;0;0,47;1,15;1,63
Neurotrophin/TRK Signaling;0;0;0,63;1,15;1,34
Thrombopoietin Signaling;0;0;0,63;1,07;1,89
NF-κB Activation by Viruses;0;0;0,54;1,41;0,89
IL-3 Signaling;0;0;0,3;1,07;1,7
Angiopoietin Signaling;0;0;0,33;1,07;1,5
Zymosterol Biosynthesis;0;0;0;0;-2
Ketone body metabolism;0;0;0;0;0
PCP (Planar Cell Polarity) Pathway;0;0;-1,16;-1,81;-0,24
DNA Methylation and Transcriptional Repression Signaling;0;0;0;0;0,24
Glycosaminoglycan metabolism;0;0;0;-1,15;-0,85
Ion channel transport;0;0;-0,69;-0,52;-0,51
Sirtuin Signaling Pathway;0;-0,82;0,16;-0,16;-0,46
Cytoprotection by HMOX1;0;0;0;0;0
Semaphorin Neuronal Repulsive Signaling Pathway;0;0;-0,56;-0,97;0,16
Pentose Phosphate Pathway;0;0;0;0;0
Protein methylation;0;0;0;0;0
ESR-mediated signaling;0;0;-0,58;0,5;-0,66
Phenylalanine and tyrosine metabolism;0;0;-1;0;0
Formation of xylulose-5-phosphate;0;0;0;0;0
Processing of SMDT1;0;0;0;0;0
EPH-Ephrin signaling;0;0;-1,21;0,22;0,43
Smooth Muscle Contraction;0;0;-0,83;1,29;0,28
Translocation of SLC2A4 (GLUT4) to the plasma membrane;0;0;-0,91;0,63;-0,83
Regulation of mRNA stability by proteins that bind AU-rich elements;0;0;-0,82;0,38;-0,91
Binding and Uptake of Ligands by Scavenger Receptors;0;0;-0,3;0;0,28
RHO GTPases Activate ROCKs;0;0;0;0,45;0
RHO GTPases activate PKNs;0;0;-0,82;0;-0,45
Cell Cycle: G1/S Checkpoint Regulation;0;0;0,83;1;0,28
Inhibition of ARE-Mediated mRNA Degradation Pathway;0;0;0,26;0,73;0
Role of CHK Proteins in Cell Cycle Checkpoint Control;0;0;0,38;0,71;0,38
TP53 Regulates Transcription of DNA Repair Genes;0;0;1;0,63;0,33
Intrinsic Pathway for Apoptosis;0;0;0;0,28;0
Protein ubiquitination;0;0;0;1;0
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages;0;0;-0,37;-0,52;0
Signaling by PTK6;0;0;-0,3;-0,58;0,3
mTOR Signaling;0;0;-0,22;0;-0,19
Signaling by CSF3 (G-CSF);0;0;0;0;0
Pyridoxal 5'-phosphate Salvage Pathway;0;0;-1,6;-1;-0,78
Fc Epsilon RI Signaling;0;0;-1,7;-0,78;-0,39
Salvage Pathways of Pyrimidine Ribonucleotides;0;0;-1,71;-0,43;0
Factors involved in megakaryocyte development and platelet production;0;0;-0,39;-0,82;0
Role of NFAT in Cardiac Hypertrophy;0;0;-0,89;-0,14;0
Thrombin Signaling;0;0;-0,65;-0,46;-0,15
White Adipose Tissue Browning Pathway;0;0;-0,39;0,18;0,9
MAP kinase activation;0;0;0,38;-0,33;0,3
Cargo recognition for clathrin-mediated endocytosis;0;0;0,26;0,47;0,89
Signaling by NTRK1 (TRKA);0;0;-0,83;0;0,73
Th2 Pathway;0;0;-0,26;-0,5;1,15
Sphingosine-1-phosphate Signaling;0;0;-0,76;-0,96;0,37
Energy dependent regulation of mTOR by LKB1-AMPK;0;0;0;0;0
MyD88 cascade initiated on plasma membrane;0;0;0;0;0,45
MyD88 dependent cascade initiated on endosome;0;0;0;-0,45;0,38
Oxidative Stress Induced Senescence;0;0;-0,54;-0,5;-0,43
Signaling by FGFR2;0;0;-0,33;0;-0,91
Colanic Acid Building Blocks Biosynthesis;0;0;0;0;0
Pyroptosis;0;0;0,82;0;-0,38
trans-Golgi Network Vesicle Budding;0;0;-0,3;-0,28;-0,26
RAS processing;0;0;0;0;-0,45
Xenobiotic Metabolism AHR Signaling Pathway;0;0;-0,69;-0,66;0,21
Phagosome Formation;0;-1;-1,73;-1,17;0
G alpha (q) signalling events;0;0;-1,34;-1,18;-0,18
eNOS Signaling;0;0;-1,46;-1,57;-0,35
Mouse Embryonic Stem Cell Pluripotency;0;0;-1,53;-1,1;-0,38
CREB Signaling in Neurons;0;0;-1,63;-1,18;-0,11
L1CAM interactions;0;0;-1,51;0;0,21
Glutaminergic Receptor Signaling Pathway (Enhanced);0;0;-1,48;-1,08;0,12
Neurotransmitter release cycle;0;0;-1,16;-0,63;0
WNT/Ca+ pathway;0;0;-0,89;-0,22;0,43
Endocannabinoid Neuronal Synapse Pathway;0;0;-0,41;0,21;0,39
Pre-NOTCH Expression and Processing;0;0;-0,63;-1,16;1,21
Dopamine-DARPP32 Feedback in cAMP Signaling;0;0;-1,04;-0,63;0,9
RET signaling;0;0;-1,27;-1,27;0,28
Reelin Signaling in Neurons;0;0;-1,23;-0,54;0
Dilated Cardiomyopathy Signaling Pathway;0;0;-1,34;-1,15;-1,23
Protein Kinase A Signaling;0;0;-1,13;-0,81;-0,75
Growth Hormone Signaling;0;0;-1,51;-1,51;-0,83
Pancreatic Secretion Signaling Pathway;0;0;-1,94;-1,7;-0,27
Estrogen-mediated S-phase Entry;0;0;-1,34;-1,41;-0,38
Adrenomedullin signaling pathway;0;0;-2,08;-1,34;-0,3
Xenobiotic Metabolism PXR Signaling Pathway;0;0;-0,69;-1,15;-0,78
Coronavirus Replication Pathway;0;0;-1,41;-0,45;-1,13
Apelin Cardiomyocyte Signaling Pathway;0;0;-1,71;-0,85;-0,43
Semaphorin interactions;0;0;-1,5;-0,85;-0,43
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes;0;0;-2;-0,47;-0,24
Docosahexaenoic Acid (DHA) Signaling;0;0;-0,54;-0,27;-0,25
UVB-Induced MAPK Signaling;0;0;-1;-0,63;0
CD40 Signaling;0;0;-0,63;-0,58;0
Endothelin-1 Signaling;0;0;-1,37;-1,34;-1,26
TNFR1 Signaling;0;0;-1,41;-1,67;-0,28
Factors Promoting Cardiogenesis in Vertebrates;0;0;-1,46;-0,82;0
Type II Diabetes Mellitus Signaling;0;0;-1,29;-1;-0,66
TNFR2 Signaling;0;0;-1,13;-1,13;-0,63
Superoxide Radicals Degradation;0;0;0;-2;-1
Retinol Biosynthesis;0;0;0;-2;0
ROBO SLIT Signaling Pathway;0;0;-0,19;-0,52;-0,71
Platelet homeostasis;0;0;-0,66;-0,63;-0,78
cAMP-mediated signaling;0;0;-1,22;-0,33;-0,82
Glycogen metabolism;0;0;-0,82;-0,82;0
Fanconi Anemia Pathway;0;0;-0,38;-0,71;0
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells;0;0;-0,89;-0,89;0
Synthesis of Prostaglandins (PG) and Thromboxanes (TX);0;0;-0,82;-0,82;-0,45
Activation of kainate receptors upon glutamate binding;0;0;0;-0,38;0
Toll-like Receptor Signaling;0;0;-1,63;-2,45;-0,83
Metabolism of nitric oxide: NOS3 activation and regulation;0;0;-1,34;-1,34;-1
Ephrin B Signaling;0;0;-1,81;-1,6;-1
Triacylglycerol Biosynthesis;0;0;-1,63;-1,73;-1,13
Amyloid Processing;0;0;-0,82;-1,63;-0,71
γ-linolenate Biosynthesis II (Animals);0;0;-1,34;-2;0
Basal Cell Carcinoma Signaling;0;0;-0,71;-1,51;0
Signaling by NTRK3 (TRKC);0;0;0;-2;0
Signaling by Erythropoietin;0;0;-0,82;-1,63;-0,45
Leptin Signaling in Obesity;0;0;-1;-1,13;-0,82
G alpha (z) signalling events;0;0;-0,82;0,45;0,3
γ-glutamyl Cycle;0;0;-1;0;0
Pyrimidine Ribonucleotides Interconversion;0;0;-1,34;0;-0,45
Pyrimidine Ribonucleotides De Novo Biosynthesis;0;0;-1,34;0;-0,45
Dopamine Receptor Signaling;0;0;-1,34;0;0
Aldosterone Signaling in Epithelial Cells;0;0;-1,21;-0,89;-0,22
Acetylcholine Receptor Signaling Pathway;0;0;-1,54;-0,78;-0,28
UVA-Induced MAPK Signaling;0;0;-1,6;-0,78;0
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes;0;0;-0,71;-0,71;-0,45
Receptor-type tyrosine-protein phosphatases;0;0;-0,82;-0,82;0
Thrombin signalling through proteinase activated receptors (PARs);0;0;-0,45;-1;-0,33
Triglyceride metabolism;0;0;-1;0;-1
TP53 Regulates Transcription of Cell Cycle Genes;0;0;-0,78;-0,28;-0,54
tRNA Splicing;0;0;-0,33;-1,16;-1,07
Phenylalanine Degradation IV (Mammalian, via Side Chain);0;0;-0,82;-0,82;-0,82
Interleukin-7 signaling;0;0;-0,82;-1,13;-1,13
IL-10 Signaling;0;0;0,6;1,26;0,31
PD-1, PD-L1 cancer immunotherapy pathway;0;0;0,83;0,94;0,5
WNT/β-catenin Signaling;0;0;0,41;0,71;-0,19
HIPPO signaling;0;0;1;0,63;0,38
VDR/RXR Activation;0;0;0,83;0;0,24
DNA damage-induced 14-3-3σ Signaling;0;0;1,27;0,3;-0,83
RAB geranylgeranylation;0;0;-0,63;-0,5;0
TR/RXR Activation;0;2;-0,93;-0,18;0,65
Relaxin Signaling;0;0;-0,73;0;-0,21
Gαq Signaling;0;0;-0,17;-0,67;0,16
BEX2 Signaling Pathway;0;0;-0,5;-0,23;0,43
Androgen Signaling;0;0;-0,24;0;0,43
Heme signaling;0;0;-0,3;0,58;0,26
Ribonucleotide Reductase Signaling Pathway;0;0;-1,86;-0,31;-0,45
Degradation of the extracellular matrix;0;0;-0,5;-0,73;0,23
EGF Signaling;0;0;-1,27;-0,26;-0,26
FGF Signaling;0;0;-2,14;-0,89;-1,28
MAPK6/MAPK4 signaling;0;0;-1,13;-0,71;-1,16
IL-7 Signaling Pathway;0;0;-1,51;0;-1,09
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane;0;0;0;0,45;1,67
Aryl Hydrocarbon Receptor Signaling;0;0;-0,85;-1,18;0,39
AMPK Signaling;0;0;-0,82;0;-1,33
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced);0;0;-0,43;0;-0,76
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism;0;0;0;0;-1
Activation of IRF by Cytosolic Pattern Recognition Receptors;0;0;-0,38;-0,38;-0,28
PI3K Cascade;0;0;-0,38;-0,71;0
YAP1- and WWTR1 (TAZ)-stimulated gene expression;0;0;-0,45;-0,45;0
Regulation of lipid metabolism by PPARalpha;0;0;-0,6;-1,4;-0,21
MYC Mediated Apoptosis Signaling;0;0;-0,54;-1;-0,5
Death Receptor Signaling;0;0;-1,41;-0,85;-0,78
RHO GTPases activate PAKs;0;0;-1;-0,45;-1
CDX Gastrointestinal Cancer Signaling Pathway;0;0;-1,22;-0,8;-0,91
TYSND1 cleaves peroxisomal proteins;0;0;0;0;-2
Role of BRCA1 in DNA Damage Response;0;0;-0,38;-1;-1,67
Dermatan Sulfate Degradation (Metazoa);0;0;0;-1,34;-2
Chondroitin Sulfate Degradation (Metazoa);0;0;0;-1,34;-2,24
GADD45 Signaling;0;0;-0,66;0,21;-1,04
Mitotic Prophase;0;0;-1;-1,39;-1,28
Apelin Pancreas Signaling Pathway;0;0;-0,54;-0,54;-0,5
Coagulation System;0;0;0;-0,71;-1
BAG2 Signaling Pathway;0;0;-0,3;-0,28;-1,07
Transcriptional regulation of granulopoiesis;0;0;0,82;-1,27;0
Nucleotide catabolism;0;0;1;0,45;-0,82
Regulation of cholesterol biosynthesis by SREBP (SREBF);0;0;-2;-0,82;0,45
GPVI-mediated activation cascade;0;0;-0,82;-1,13;0
Phosphatidylethanolamine Biosynthesis II;0;0;-1;-1;0
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors;0;0;-0,82;-0,71;0
Corticotropin Releasing Hormone Signaling;0;0;-0,21;0,39;0,19
ID1 Signaling Pathway;0;0;-0,13;-0,13;0,25
Glioma Invasiveness Signaling;0;0;0;-0,6;-0,2
Metabolism of water-soluble vitamins and cofactors;0;0;0;-0,26;-1,09
Apelin Adipocyte Signaling Pathway;0;0;-0,5;-0,28;0
Signaling by CSF1 (M-CSF) in myeloid cells;0;0;-0,38;-0,38;-0,33
Thioredoxin Pathway;0;0;0;0;0
SUMOylation of intracellular receptors;0;0;0,38;-0,33;0,71
VEGF Family Ligand-Receptor Interactions;0;0;-0,78;0;0,43
GDNF Family Ligand-Receptor Interactions;0;0;-0,58;0;0,47
Synaptic Long Term Potentiation;0;0;-0,82;0;0,71
Small Cell Lung Cancer Signaling;0;0;-0,3;0,26;-0,24
GPER1 signaling;0;0;0;0,38;0,33
CD27 Signaling in Lymphocytes;0;0;-0,33;0;0
Role of JAK2 in Hormone-like Cytokine Signaling;0;0;0;-0,54;0
Adipogenesis pathway;0;0;-0,35;0,17;0,52
Transcriptional Regulation by E2F6;0;0;0,45;0;0,45
The Visual Cycle;0;0;0;0;0
ATM Signaling;0;0;0,78;0;0,5
Interleukin-20 family signaling;0;0;0;0;0
RHO GTPases activate KTN1;0;0;0;0;0
Role of JAK1, JAK2 and TYK2 in Interferon Signaling;0;0;0;0;0
Alpha-protein kinase 1 signaling pathway;0;0;0;1;1
Metabolism of folate and pterines;0;0;0,82;1,34;0,82
LPS/IL-1 Mediated Inhibition of RXR Function;0;0;0,26;0,73;0,23
Tryptophan catabolism;0;0;0;0,45;0,45
Activation of Matrix Metalloproteinases;0;0;0,38;0,38;0
Inflammasome pathway;0;0;0,71;0,38;0,58
Histidine Degradation III;0;0;0;0;1
Transcriptional regulation of pluripotent stem cells;0;0;0;0,45;1
FOXO-mediated transcription of cell cycle genes;0;0;0,38;0,82;1,34
Apelin Liver Signaling Pathway;0;0;0,45;0;1
Triacylglycerol Degradation;0;0;0,45;0,45;1
Sonic Hedgehog Signaling;0;0;0,38;0,38;1
NFE2L2 regulating anti-oxidant/detoxification enzymes;0;0;0,38;0,38;0,82
Interleukin-1 processing;0;0;0,45;0;0,71
Granzyme B Signaling;0;0;0;-2;0
Growth hormone receptor signaling;0;0;0;-1,13;-0,45
Signaling by SCF-KIT;0;0;-0,28;-0,58;0,5
D-myo-inositol (1,4,5)-trisphosphate Degradation;0;0;0;0;0
Melanoma Signaling;0;0;-0,3;0,5;0,54
CNTF Signaling;0;0;-0,63;0;0,28
Processing of Capped Intronless Pre-mRNA;0;0;1;0,45;0
Cardiac β-adrenergic Signaling;0;0;0,47;-0,23;0
Signaling by NTRK2 (TRKB);0;0;0;0;0,38
Lymphotoxin β Receptor Signaling;0;0;0;0;-0,33
Ceramide Biosynthesis;0;0;0;0;0
Cardiomyocyte Differentiation via BMP Receptors;0;0;0;0;0
FAT10 Signaling Pathway;0;0;0;0;0
Induction of Apoptosis by HIV1;0;0;0;-0,28;-0,78
Phosphatidylglycerol Biosynthesis II (Non-plastidic);0;0;-1;-0,45;-1
CDP-diacylglycerol Biosynthesis I;0;0;-1;-0,45;-1
MIF Regulation of Innate Immunity;0;0;-1,27;-1,27;-0,3
MIF-mediated Glucocorticoid Regulation;0;0;-0,71;-0,71;-0,33
GM-CSF Signaling;0;0;-0,26;0,23;0
TNFs bind their physiological receptors;0;0;0;0;0,71
Inhibition of Matrix Metalloproteases;0;0;0,3;-0,3;0
Apoptotic execution phase;0;0;-0,38;0,33;0
RORA activates gene expression;0;0;0;0;-0,38
Notch Signaling;0;0;0;-1;-0,38
Nucleotide salvage;0;0;-0,45;-0,45;0
Signaling by ALK;0;0;-0,82;-0,71;-0,38
EGR2 and SOX10-mediated initiation of Schwann cell myelination;0;0;-0,71;-0,38;-0,71
Crosstalk between Dendritic Cells and Natural Killer Cells;0;0;-0,58;0;-0,58
Vasopressin regulates renal water homeostasis via Aquaporins;0;0;-0,45;0;0
dTMP De Novo Biosynthesis;0;0;0;0;0
Transcriptional Regulation by NPAS4;0;0;-0,33;-0,33;-0,5
Surfactant metabolism;0;0;0;0;0
Vitamin D (calciferol) metabolism;0;0;0;1;0
Rap1 signalling;0;0;0;1;0
Carnitine metabolism;0;0;1;0,45;0
Vitamin-C Transport;0;0;0,38;0;0
Glycogen Biosynthesis II (from UDP-D-Glucose);0;0;0;0;0
Superpathway of Citrulline Metabolism;0;0;0;0;0
Leucine Degradation I;0;0;0;0;0
MAPK targets/ Nuclear events mediated by MAP kinases;0;0;-0,82;0;0,38
NFE2L2 regulates pentose phosphate pathway genes;0;0;-0,45;0;0
Pentose phosphate pathway;0;0;0;0;0
Prostanoid Biosynthesis;0;0;0;0;0
Ceramide Degradation;0;0;0;0;0
FOXO-mediated transcription of cell death genes;0;0;0;-0,45;0
TWEAK Signaling;0;0;0;-0,33;-0,3
Glutamate and glutamine metabolism;0;0;0;0;0
IL-22 Signaling;0;0;0;0;0
NAD biosynthesis II (from tryptophan);0;0;0;0;-0,45
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses;0;0;0,26;0,26;0,22
Signaling by Leptin;0;0;0;0;0
Fatty Acid Activation;0;0;0;0;0
Glycogen Degradation II;0;0;0;0;0
Purine Nucleotides De Novo Biosynthesis II;0;0;0;0;0
Urate Biosynthesis/Inosine 5'-phosphate Degradation;0;0;0;0;0
Mitochondrial L-carnitine Shuttle Pathway;0;0;0;0;0
Pexophagy;0;0;0;0;0
Trafficking and processing of endosomal TLR;0;0;0;0;0
Cellular hexose transport;0;0;0;0;0
Glycogen Degradation III;0;0;0;0;0
IL-9 Signaling;0;0;0;-0,38;0,33
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R);0;0;0;0;0
SUMOylation of transcription factors;0;0;0;0;0
GP1b-IX-V activation signalling;0;0;0;0;0
SUMOylation of immune response proteins;0;0;0;0;0
nNOS Signaling in Neurons;0;0;0;0;0,45
Sphingosine and Sphingosine-1-phosphate Metabolism;0;0;0;0;0
Epoxysqualene Biosynthesis;0;0;0;0;0
Chondroitin and Dermatan Biosynthesis;0;0;0;0;0
NR1D1 (REV-ERBA) represses gene expression;0;0;0;0;0
GDP-L-fucose Biosynthesis I (from GDP-D-mannose);0;0;0;0;0
Anandamide Degradation;0;0;0;0;0
Spermine Biosynthesis;0;0;0;0;0
Rapoport-Luebering Glycolytic Shunt;0;0;0;0;0
Mechanisms of Viral Exit from Host Cells;0;0;0;0;0
N-acetylglucosamine Degradation II;0;0;0;0;0
Tyrosine Biosynthesis IV;0;0;0;0;0
Platelet Aggregation (Plug Formation);0;0;0;0;0
Caveolar-mediated Endocytosis Signaling;0;0;0;0;0
Melatonin Degradation II;0;0;0;0;0
Pyruvate Fermentation to Lactate;0;0;0;0;0
Lactose synthesis;0;0;0;0;0
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes);0;0;0;0;0
Ascorbate Recycling (Cytosolic);0;0;0;0;0
Prednisone ADME;0;0;0;0;0
Role of JAK1 and JAK3 in γc Cytokine Signaling;0;0;0;0;0
Glycine Biosynthesis I;0;0;0;0;0
Prostate Cancer Signaling;0;0;0;0;0
Nucleotide Excision Repair Pathway;0;0;0;0;0
Phagosome Maturation;0;0;0;0;0
Cleavage and Polyadenylation of Pre-mRNA;0;0;0;0;0
Putrescine Biosynthesis III;0;0;0;0;0
Miro GTPase Cycle;0;0;0;0;0
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde;0;0;0;0;0
Maturity Onset Diabetes of Young (MODY) Signaling;0;0;0;0;0
Selenocysteine Biosynthesis II (Archaea and Eukaryotes);0;0;0;0;0
Lipoate Biosynthesis and Incorporation II;0;0;0;0;0
Glucocorticoid Receptor Signaling;0;0;0;0;0
Tyrosine Degradation I;0;0;0;0;0
Neurotransmitter uptake and metabolism In glial cells;0;0;0;0;0
Xenobiotic Metabolism Signaling;0;0;0;0;0
OAS antiviral response;0;0;0;0;0
Phenylethylamine Degradation I;0;0;0;0;0
Acetate Conversion to Acetyl-CoA;0;0;0;0;0
Cysteine Biosynthesis/Homocysteine Degradation;0;0;0;0;0
Biotin-carboxyl Carrier Protein Assembly;0;0;0;0;0
Arginine Degradation I (Arginase Pathway);0;0;0;0;0
Agranulocyte Adhesion and Diapedesis;0;0;0;0;0
DNA Double-Strand Break Repair by Homologous Recombination;0;0;0;0;0
Thiosulfate Disproportionation III (Rhodanese);0;0;0;0;0
Th1 and Th2 Activation Pathway;0;0;0;0;0
Granulocyte Adhesion and Diapedesis;0;0;0;0;0
Formation of lateral plate mesoderm;0;0;0;0;0
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs);0;0;0;0;0
Pentose Phosphate Pathway (Non-oxidative Branch);0;0;0;0;0
Tight Junction Signaling;0;0;0;0;0
Circadian Rhythm Signaling;0;0;0;0;0
Tetrahydrobiopterin Biosynthesis II;0;0;0;0;0
FasL/ CD95L signaling;0;0;0;0;0
DNA Double-Strand Break Repair by Non-Homologous End Joining;0;0;0;0;0
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis;0;0;0;0;0
Diphthamide Biosynthesis;0;0;0;0;0
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency;0;0;0;0;0
Epithelial-Mesenchymal Transition (EMT) during gastrulation;0;0;0;0;0
GDP-glucose Biosynthesis;0;0;0;0;0
Gap Junction Signaling;0;0;0;0;0
Regulation of TP53 Activity through Association with Co-factors;0;0;0;0;0
Hereditary Breast Cancer Signaling;0;0;0;0;0
L-dopachrome Biosynthesis;0;0;0;0;0
β-alanine Degradation I;0;0;0;0;0
Tetrahydrobiopterin Biosynthesis I;0;0;0;0;0
Semaphorin Signaling in Neurons;0;0;0;0;0
Arginine Degradation VI (Arginase 2 Pathway);0;0;0;0;0
Atherosclerosis Signaling;0;0;0;0;0
L-glutamine Biosynthesis II (tRNA-dependent);0;0;0;0;0
Hepatic Fibrosis / Hepatic Stellate Cell Activation;0;0;0;0;0
D-glucuronate Degradation I;0;0;0;0;0
Airway Pathology in Chronic Obstructive Pulmonary Disease;0;0;0;0;0
Clathrin-mediated Endocytosis Signaling;0;0;0;0;0
D-mannose Degradation;0;0;0;0;0
Protein Ubiquitination Pathway;0;0;0;0;0
Oxidized GTP and dGTP Detoxification;0;0;0;0;0
NADH Repair;0;0;0;0;0
Threonine catabolism;0;0;0;0;0
Pentose Phosphate Pathway (Oxidative Branch);0;0;0;0;0
Myo-inositol Biosynthesis;0;0;0;0;0
Ephrin A Signaling;0;0;0;0;0
Phenylalanine Degradation I (Aerobic);0;0;0;0;0
Role of MAPK Signaling in the Pathogenesis of Influenza;0;0;0;0;0
Pregnenolone Biosynthesis;0;0;0;0;0
Sucrose Degradation V (Mammalian);0;0;0;0;0
NGF processing;0;0;0;0;0
GDP-mannose Biosynthesis;0;0;0;0;0
Urea Cycle;0;0;0;0;0
Serine Biosynthesis;0;0;0;0;0
Arsenate Detoxification I (Glutaredoxin);0;0;0;0;0
Axonal Guidance Signaling;0;0;0;0;0
Role of IL-17A in Arthritis;0;0;0;0;0
N-acetylglucosamine Degradation I;0;0;0;0;0
Salvage Pathways of Pyrimidine Deoxyribonucleotides;0;0;0;0;0
Iron homeostasis signaling pathway;0;0;0;0;0
Regulation of the Epithelial-Mesenchymal Transition Pathway;0;0;0;0;0
Glutathione Redox Reactions II;0;0;0;0;0
Folate Polyglutamylation;0;0;0;0;0
Cellular Effects of Sildenafil (Viagra);0;0;0;0;0
Antigen Presentation Pathway;0;0;0;0;0
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis;0;0;0;0;0
Regulation of NFE2L2 gene expression;0;0;0;0;0
Reversible hydration of carbon dioxide;0;0;0;0;0
Reelin signalling pathway;0;0;0;0;0
rRNA processing;0;0;0;0;0
Virus Entry via Endocytic Pathways;0;0;0;0;0
